question_translation_id,knowledge_point_id,language_code,translated_question_text,question_id,question_solution
246847,12,en,"Compare the numbers using >, < or =. $202$ [[ans]] $202$",6923,"<div class=""ex-text"" align=""center"">

$202$ ? $202$

</div>

由于这两个数字位数相同，我们从左到右比较每位数字，考虑它们的位置值。

**步骤 1:** 两个数字中的最左边的数字是2，它们相同。

<div align=""center"">

${\color{#8DB600}2}02$ ? ${\color{#8DB600}2}02$
</div>

**步骤 2:** 两个数字中的从左边数第二个数字是0，它们相同。

<div align=""center"">

$2{\color{#8DB600}0}2$ ? $2{\color{#8DB600}0}2$
</div>

**步骤 3:** 两个数字中的我们比较从左边数第三个数字是2，它们相同。

<div align=""center"">

$20{\color{#8DB600}2}$ ? $20{\color{#8DB600}2}$
</div>

由于所有数字都相同，我们可以得出结论，数字 202 等于数字 202。
"
37628,14,en,Find the sum.\n$213$ + $355$ = [[ans]],8132,"<div class=""ex-text"" align=""center"">

$213 + 355$

</div>

**第 1 步：** 让我们先写下数字 $213$，然后在下面写下数字 $355$。确保个位上的数字对齐，即 $3$ 和 $5$。始终从右侧开始相加，这也叫个位。
$$
\begin{array}{l r}
& {\color{#C4A680}百位}\:\:\:{\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#C4A680}2}\:\:\:\:\:\:\:\:\:\:\:\:\:\:{\color{#21ABCD}1}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}3}\:\:\:\\
+&{\color{#C4A680}3}\:\:\:\:\:\:\:\:\:\:\:\:\:\:{\color{#21ABCD}5}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}5}\:\:\:\\
\hline
\end{array}
$$

**第 2 步：** 首先加个位上的数字。 $3 + 5 =8$ 并将其写在个位上。
$$
\begin{array}{l r}
&21{\color{Salmon}3}\\
+&35{\color{Salmon}5}\\
\hline
&{\color{Salmon}8}\\
\end{array}
$$

**第 3 步：** 然后加十位上的数字 $1 + 5 = 6$ 并将其写在十位上。
$$
\begin{array}{l r}
&2{\color{Salmon}1}3\\
+&3{\color{Salmon}5}5\\
\hline
& {\color{Salmon}6}8\\
\end{array}
$$

**第 4 步：** 加百位上的数字。 $2 + 3 =5$ 并将其写在百位上。
$$
\begin{array}{l r}
&{\color{Salmon}2}13\\
+&{\color{Salmon}3}55\\
\hline
& {\color{Salmon}5}68\\
\end{array}
$$

所以答案是 $568$。"
38031,15,en,Find the difference.\n$882$ − $281$ = [[ans]],8535,"<div class=""ex-text"" align=""center"">

$882-281$

</div>

**步骤 1:** 让我们先写下数字 $882$，在它的下方写下数字 $281$。确保对齐个位数，即 $2$ 和 $1$。始终从右侧开始减法，也就是个位数。
$$
\begin{array}{l r}
& {\color{#C4A680}百} \:\:\:{\color{#21ABCD}十} \:\:\:{\color{#8DB600}个位}\\
& {\color{#C4A680}8}\:\:\:\:\:\:\:\:\:\:\:\:\:\:{\color{#21ABCD}8}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}2}\:\:\:\\
-& {\color{#C4A680}2}\:\:\:\:\:\:\:\:\:\:\:\:\:\:{\color{#21ABCD}8}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}1}\:\:\:\\
\hline
\end{array}
$$
**步骤 2:** 先减去个位数的数字。 $2 - 1 = 1$，并将其写在个位数的位置。
$$
\begin{array}{l r}
& 88{\color{Salmon}2}\\
-& 28{\color{Salmon}1}\\
\hline
& {\color{Salmon}1}\\
\end{array}
$$
**步骤 3:** 然后减去十位数的数字 $8 - 8 = 0$，并将它们写在十位数的位置。
$$
\begin{array}{l r}
& 8{\color{Salmon}8}2\\
-& 2{\color{Salmon}8}1\\
\hline
& {\color{Salmon}0}1\\
\end{array}
$$
**步骤 4:** 减去百位数的数字。 $8 - 2 = 6$，并将它们写在百位数的位置。
$$
\begin{array}{l r}
& {\color{Salmon}8}82\\
-& {\color{Salmon}2}81\\
\hline
& {\color{Salmon}6}01\\
\end{array}
$$

所以答案是 $601$。"
39355,16,en,"Fill in the missing numbers.\n1126, [[ans]], 1130",9857,"<div class=""ex-text"" align=""center"">

缺失的数字是什么？

$1126$, $\underline{\quad}$, $1130$

</div>

**步骤 1：** 找到规律！我们可以查看我们已有的数字，看看是否可以找到一个可以用来找出缺失数字的规律。在这种情况下，我们可以看到每次数字都增加了 2，所以这个规律是 ${\color{#8DB600}2}$。

**步骤 2:** 我们知道数字每次增加 2，因此 1126 后面的数字应该是 1128。


所以缺失的数字是 1128 完整的序列是

$$
1126, {\color{Salmon}1128}, 1130
$$"
247756,17,en,"Compare the numbers using >, <, or =. $788$ [[ans]] $788$",10682,"<div class=""ex-text"" align=""center"">

$788$ ? $788$
</div>

由于这两个数字位数相同，我们从左到右比较每位数字，考虑它们的位置值。

**步骤 1:** 两个数字中的最左边的数字是7，它们相同。

<div align=""center"">

${\color{#8DB600}7}88$ ? ${\color{#8DB600}7}88$
</div>

**步骤 2:** 两个数字中的从左边数第二个数字是8，它们相同。

<div align=""center"">

$7{\color{#8DB600}8}8$ ? $7{\color{#8DB600}8}8$
</div>

**步骤 3:** 两个数字中的我们比较从左边数第三个数字是8，它们相同。

<div align=""center"">

$78{\color{#8DB600}8}$ ? $78{\color{#8DB600}8}$
</div>

由于所有数字都相同，我们可以得出结论，数字 788 等于数字 788。
"
40568,18,en,Fill in the total number in the box.\n$6$ ones + $5$ tens = [[ans]],11072,"
            <div class=""ex-yellow"">
            <div class=""title"">
            Solution
            </div>
            <div class=""ex-text"" align=""center"">
            6 个位 + 5 十位


            Let us see what **6 个位** and **5 十位** mean.

            -  6 个位 = 6
            -  5 十位 = 50
            <div class=""ex-text"" align=""center"">
            6 个位 + 5 十位 = 6 + 50 = 56
            </div>
            </div>"
41163,21,en,Find the sum.\n$746$ + $856$ = [[ans]],12867,No solution found for this knowledge point.
42193,22,en,Find the difference.\n$654$ − $179$ = [[ans]],14497,No solution found for this knowledge point.
42494,24,en,Multiply.\n$8$ × $3$ = [[ans]],14798,"<div class=""ex-text"" align=""center"">

$$
8 × 3 = 24
$$

</div>

如果你有 3 组 8 饼干，你可以挨个计数，得到 24 饼干。实际上，你可以用乘法更快地得到答案。你只需要知道 3 组 8 饼干 等于 24 饼干，或者 3 乘以 8 等于 24。"
325943,25,en,$3$ students each buy $7$ cookies. How many cookies do they have altogether?[[ans]],15109,No solution found for this knowledge point.
42580,26,en,Divide.\n$40$ ÷ $5$ = [[ans]],15235,"<div class=""ex-text"" align=""center"">

$$

40÷5 = 8

$$

</div>

$40 ÷ 5 = 8$，这意味着40可以容纳5八次。"
42731,28,en,Multiply.\n20×9[[ans]][[ans]][[ans]],15918,"<div class=""ex-text"">

$$
20 × 9
$$

</div>

**第 1 步：** 在下面的例子中，首先乘以个位数
$$
\begin{array}{l r}
&2{\color{Salmon}{0}}\\
\times  &{\color{Salmon}9}\\
\hline
&{\color{Salmon}{0}}\\
\end{array}
$$

**第 2 步：** 接下来乘以十位数
$$
\begin{array}{l r}
&{\color{Salmon}{2}}0\\
\times &{\color{Salmon}9}\\
\hline
&{\color{Salmon}{18}}{0}\\
\end{array}
$$

所以答案是 $180$."
42756,29,en,Divide.\n24÷3[[ans]],15943,"
    $$  
    24 ÷ 3  
    $$  

    我们可以除以个位上的数字  
    $$  
    \begin{array}{r}  
    8\phantom{)}   \\  
    3\overline{\smash{\big)}\,24\phantom{)}}\\  
    \underline{-24\phantom{)}}\\  
    0\phantom{)}\\  
    \end{array}  
    $$  

    所以答案是 $8$。  
                "
42829,31,en,Multiply.\n12×7[[ans]][[ans]],16022,"<div class=""ex-text"">

$$
12 × 7
$$

</div>

**步骤 1:** 首先比较数字，12 的位数比 7 多，先放置较大的数字，然后放置第二个数字。

$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}1}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}2}\:\:\:\\
×&{\color{#21ABCD}}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}7}\:\:\:\\
\hline
\end{array}
$$


**步骤 2:** 接下来将 7 乘以 2 （第一个数字的个位），得到的积是 14，如果大于 9，则进位 1 十位到十位列。

$$
\begin{array}{l r}
& \tiny1\:\:\:\:\\[-3pt]
&1{\color{Salmon}2}\\
×&{\color{Salmon}7}\\
\hline
& {\color{Salmon}4}\\
\end{array}
$$

**步骤 3:** 现在，将 7 乘以 1 （第一个数字的十位）。

$$
\begin{array}{l r}
& \tiny1\:\:\:\:\\[-3pt]
&{\color{Salmon}1}2\\
×&{\color{Salmon}7}\\
\hline
&4\\
&{\color{Salmon}7}\phantom{0}\\
\hline
\end{array}
$$

**步骤 4:** 最后，加上进位。

$$
\begin{array}{l r}
& {\color{Salmon}\tiny1}\:\:\:\\[-3pt]
&12\\
×&7\\
\hline
&4\\
&{\color{Salmon}7}\phantom{0}\\
\hline
&{\color{Salmon}8}4
\end{array}
$$

所以答案是 $84$."
43286,32,en,Divide each number or find the quotient.\n$37$ ÷ $8$ = [[ans]] R [[ans]],17130,"<div class=""ex-text"">

$$
37 ÷ 8
$$

</div>

除以每个数字或找出商

**步骤 1：** 首先我们问自己：37 可以容纳 8 几次？答案是 4。因此，我们可以将 4 写在数字 7 的上方，如下所示：

$$
\begin{array}{r}
4\phantom{)}   \\
8{\overline{\smash{\big)}\,37\phantom{)}}}\\
\end{array}
$$

**步骤 2：** 现在，我们需要将 $4$ 乘以 8 得到 32，并将结果写在 37 下方：
$$
\begin{array}{r}
{\color{Salmon}4}\phantom{)}   \\
{\color{Salmon}8}{\overline{\smash{\big)}\,37\phantom{)}}}\\
\underline{{\color{Salmon}-32}\phantom{)}}\\
5\phantom{)}\\
\end{array}
$$

所以商是 4，余数是 $5$。
</div>"
43086,33,en,Fill in the numerator and denominator box of fraction below.\n$\frac{4}{9}$\nNumerator = [[ans]]\nDenominator = [[ans]],17299,"<div class=""ex-text"">

$$
\frac{4}{9}
$$

</div>

$4$ 是分子，$9$ 是分母。"
45365,34,en,Multiply.\n34×13[[ans]][[ans]][[ans]]\n[[ans]][[ans]]\n[[ans]][[ans]][[ans]],19255,"<div class=""ex-text"">

$$
34 × 13
$$

</div>

**步骤 1:** 首先比较这两个数字，34 大于 13 **因为十位数 3 大于 1**。首先将较大的数字作为 **被乘数**，然后将第二个数字作为 **乘数**。

$$
\begin{array}{l r}
& {\color{#21ABCD}十位}\:\:\:{\color{#8DB600}个位}\\
&{\color{#21ABCD}3}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}4}\:\:\:\\
×&{\color{#21ABCD}1}\:\:\:\:\:\:\:\:\:\:{\color{#8DB600}3}\:\:\:\\
\hline
\end{array}
$$

**步骤 2:** 将被乘数与乘数的个位数相乘。将这些数字写在横线下。

$$
\begin{array}{l r}
&{\color{Salmon}34}\\
×&1{\color{Salmon}3}\\
\hline
& {\color{Salmon}102}\\
\end{array}
$$

**步骤 3:** 接下来，将被乘数与乘数的十位数相乘。将这些数字写在个位数值下。

$$
\begin{array}{l r}
&{\color{Salmon}34}\\
×&{\color{Salmon}1}3\\
\hline
&102\\
&{\color{Salmon}34}\phantom{0}\\
\hline
\end{array}
$$

**步骤 4:** 最后，将这些数字相加即可得到。

$$
\begin{array}{l r}
&34\\
×&13\\
\hline
&{\color{Salmon}102}\\
+&{\color{Salmon}34}\phantom{0}\\
\hline
&{\color{Salmon}442}
\end{array}
$$

所以，答案是 $442$。
</div>
</div>"
43932,35,en,Divide.\n43÷10[[ans]]R[[ans]],17831,"<div class=""ex-text"">

$$
43 ÷ 10
$$


将每个数字相除或找到商

</div>

**步骤 1:** 我们首先要问自己：43 可以容纳 10 几次？答案是 4。因此，我们可以把 4 写在数字 43 上方，然后我们将 4 乘以 10 得到 40，并把结果写在 43 的下面：

$$
\begin{array}{r}
{\color{Salmon}4}\phantom{)}   \\
{\color{Salmon}10}{\overline{\smash{\big)}\,43 \phantom{)}}}\\
\underline{{\color{Salmon}-40}\phantom{)}}\\
3\phantom{)}\\
\end{array}
$$

所以商是 $4$，余数是 $3$。"
43508,36,en,"Identify the fraction and choose the correct fraction type.\n$\frac{7}{4}$@proper, improper, mixed@[[ans]]",17395,"
<div class=""ex-text"">

$$
\frac{7}{4}
$$

</div>

7/4 是一个假分数，因为 7 > 4。
"
46441,37,en,Multiply.\n174×26[[ans]]@,20340,No solution found for this knowledge point.
46959,38,en,Divide.\n218÷9[[ans]]R[[ans]]@,20858,"<div class=""ex-text"" align=""center"">

$218 \div 9 =?$
</div>

当你解决除法问题时，你需要从左到右进行运算。你首先从**最大**的位值开始，在这种情况下是**百位**。


当你在长除法中遇到除数大于当前被除数的情况时，你需要在商中写入一个零。


**步骤 1:**
9 中有多少个 2？因为答案是 0，我们继续下一个位值。

**步骤 1.2:** 我们计算 2 × 9 = 18，并将其写在 21 下方。

**步骤 1.3:** 我们将 18 减去 21，并写下 3。


**步骤 2:**
我们将个位上的数字带下来。

**步骤 2.2:** 9 中有多少个 38？我们估算出 4，并将其写在个位上方。

**步骤 2.3:** 我们计算 9 × 4 = 36，并将其写在 36 下方。


**步骤 3：在商的旁边写下余数并检查**



<div class=""ex-text"" align=""center"">

${\color{#8DB600}除数}$ × ${\color {Salmon}商}$ + ${\color{#21ABCD}余数}$ = ${\color{#C4A680}被除数}$
$$

9 \times 24  + 2 = 216 + 2 = 218
$$
</div>"
46075,39,en,Reduce the fraction to its lowest term.\n$\frac{6}{8}$ = @![[ans]][[ans]]!@,19962,"将分数 $\large\frac{6}{8}$ 的简化形式写出来

**步骤 1：** 列出所有可以完全整除分子和分母的数字，也就是说没有留下任何余数。

$$
\begin{aligned}
&6: 1, 2, 3, 6 \\
&8: 1, 2, 4, 8 \\
\end{aligned}
$$

**步骤 2：** 确定分子和分母的共同因子。

$$
\begin{aligned}
&6: \bold{1, 2} \\
&8: \bold{1, 2} \\
\end{aligned}
$$
**步骤 3：** 两个整数的最大公约数（GCD）是能够整除这两个整数的最大整数。我们必须在这一步中将分子和分母除以最大公因子。

$$
 \frac{6\color{Salmon}\div2}{8\color{Salmon}\div2} = \frac{{\color{salmon}3}}{{\color{salmon}4}}
$$

因此，$\large\frac{{6}}{{8}}$ 的最简形式是 $\large\frac{{3}}{{4}}$。"
47719,40,en,Multiply.\n194×1289[[ans]]@,21546,No solution found for this knowledge point.
48225,41,en,Divide.\n1399÷80[[ans]]R[[ans]]@,22045,"<div class=""ex-text"" align=""center"">

$1399 \div 80 =?$
</div>

当你解决除法问题时，你是从左到右进行计算的。你从**最高**位开始。
当你在长除法中遇到除数大于当前工作被除数的步骤时，你需要在商中填入一个零。

$$
\begin{aligned}
&\underline{\text{ }\text{ }\text{ }\text{ }\text{ }\text{ }\small\:\:\:}\\[-5pt]
80&\big)1399\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
\begin{aligned}
&\underline{\text{ }\:\!\:{\color {Salmon}0}\text{ }\text{ }\small\:\:\:}\\[-5pt]
80&\big)1399\\[-4pt]
\end{aligned}
$$

**步骤 1:**
简短的思考方式是：在 13 中有多少个 80？由于答案是 0，我们继续到下一个位值。

**步骤 1.1:** 在 13 中有多少个 80？我们估算 0 并将其写在十位上方。
$$
\begin{aligned}
&\underline{\text{ }\:0\text{ }\text{ }\:\:\small\:\:\:}\\[-5pt]
80&\big)1399\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
\begin{aligned}
&\underline{\text{ }\:0{\color {Salmon}0}\text{ }\text{ }\:\:\small\:\:\:}\\[-5pt]
80&\big)1399\\[-4pt]
\end{aligned}
$$


**步骤 2:**
**步骤 2.1:** 80 中有多少个 139？我们估算出 1 并将其写在十位上方。

**Step 2.2:** We calculate $1 \times 80 = 80$ and write 80 below 139.

**步骤 2.3:** 我们从 80 中减去 139 并写下 59。


**步骤 3:**
**步骤 3.1:** 80 中有多少个 599？我们估算出 7 并将其写在个位上方。

**Step 3.2:** We calculate $7 \times 80 = 560$ and write 560 below 599.

**步骤 3.3:** 我们从 560 中减去 599 并写下 39。


**步骤 4：在商的旁边写下余数并检查**


${\color{#8DB600}除数}$ × ${\color {Salmon}商}$ + ${\color{#21ABCD}余数}$ = ${\color{#C4A680}被除数}$

$$
17 \times 80 + 39 = 1399
$$

</div>"
47805,42,en,Reduce the fraction to its lowest term.\n$\frac{2}{10}$ = [[ans]]_fhint_,21572,"将分数 $\large\frac{2}{10}$ 化简。

**步骤 1:** 列出所有可以整除分子和分母的数字，也就是说，不留任何余数。

$$
\begin{aligned}
&2: 1, 2 \\
&10: 1, 2, 5, 10 \\
\end{aligned}
$$
**步骤 2:** 确定分子和分母的共同因子。

$$
\begin{aligned}
&2: \bold{1, 2} \\
&10: \bold{1, 2} \\
\end{aligned}
$$
**步骤 3:** 两个整数的最大公约数 (GCD) ，即可以整除这两个整数的最大整数。在这一步中，我们要用最大的公因子分母和分子。

$$
 \frac{2\color{Salmon}\div2}{10\color{Salmon}\div2} = \frac{{\color{salmon}1}}{{\color{salmon}5}}
$$

因此，$\large\frac{{2}}{{10}}$ 的最简形式为 $\large\frac{{1}}{{5}}$。"
47767,43,en,Convert the fraction to decimal.\n$\frac{4}{20}$ = [[ans]],21843,"<div class=""ex-text"" align=""center"">

$\frac{4}{20} =?$

</div>

我们首先将除数20放在除法括号外，将被除数4放在括号内。

$$
\begin{aligned}
&\underline{\text{ }\text{ }\text{ }\text{ }\text{ }\small}\\[-5pt]
20&\big)4\\[-4pt]
\end{aligned}
$$

**步骤 1:** 我们注意到4无法被20整除，这意味着答案将是小于1的数字。由于不能为这个问题找到一个整数答案，我们需要在4后面添加一个小数点和一个零，使其变为4.0。同样，我们也在商的后面添加一个小数点。
$$
\begin{aligned}
&\underline{\text{ }\text{ }\text{ }\text{ }\text{ }\small}\\[-5pt]
20&\big)4\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
\begin{aligned}
&\underline{\:\:{\color {Salmon} 0}{\color {Salmon}.}\:\:\:\:}\\[-5pt]
20&\big)4{\color {Salmon}.}{\color {Salmon}0}\\[-4pt]
\end{aligned}
$$

**步骤 2:** 为了更容易理解和计算，我们在除法时将'4.0'视为'40'。20能整除40多少次？$20\times2 = 40$，我们将数字2放在商的旁边的小数点后面。然后我们将40写在被除数下方并进行减法以获得余数，即0。
$$
\begin{aligned}
&\underline{\:\:0.\:\:\:\:}\\[-5pt]
20&\big)4.0\\[-4pt]
\end{aligned}
\:\:\:\longrightarrow    \:\:
\begin{aligned}
&\underline{\:\,0.{\color {Salmon} 2 }\:}\\[-5pt]
20&\big)4\:0\\[-4pt]
-&{\:\:{\color {Salmon} 4}{\:\:\!\color {Salmon} 0}\:\:}\\[-4pt]
\hline
&\text{ }\:\:\:{\:\:\!\color {Salmon} 0}\\[-4pt]
\end{aligned}
$$


**步骤 3:** 由于没有剩余，我们已经完成了计算。
$$
\begin{aligned}
&\underline{\: 0.{\color {Salmon} 2 }\:} \\[-5pt]
20 &\big)4 \:0 \\[-4pt]
-&{\:{\color {Salmon} 4 }{\:\!\color {Salmon} 0 }\:} \\[-4pt]
\hline
&\text{ }\: \:\:{\!\color {Salmon} 0}\[-4pt]
\end{aligned}
\: \longrightarrow \:
0.2
$$
因此，最终答案是 0.2

"
