"question_translation_id","knowledge_point_id","language_code","translated_question_text","question_id"
56198,61,"en","Divide.\n$3442$ ÷ $100$ = [[ans]]",29997
56423,62,"en","Multiply.\n0.3×0.6[[ans]]@",30222
57002,63,"en","Divide.\n2.4÷0.6[[ans]]@",30793
237030,64,"en","Find the mean.##Adding all numbers together and then dividing by the number of terms.\n71, 86, 97, 113, 123\n[[ans]]",31656
237188,65,"en","Find the middle number by sorting in order.##If there are two middle numbers, take the mean of those two.\n83, 69, 23, 72, 3\n[[ans]]",31813
237597,66,"en","Identify the number that appears the most.\n89, 53, 53, 30, 8\n[[ans]]",32227
58557,67,"en","Solve.\n$10^2$ = [[ans]]",32454
58660,68,"en","Solve.\n$37$ + ($3^3$ − $9$) × $4$ = [[ans]]",32560
58989,69,"en","Solve.##Reduce the answer to the lowest term.\n$\frac{5}{11}$ × $\frac{1}{2}$ ÷ $\frac{3}{8}$ = [[ans]]_fhint_",32889
59716,70,"en","Add the Fractions.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{1}{4}$ + $\frac{1}{2}$ + $\frac{4}{9}$ = [[ans]]_fhint_",33616
60091,71,"en","Solve.##If your answer is an improper fraction, write it as a mixed number.\n$\frac{1}{2}$ + $\frac{3}{8}$ − $\frac{3}{5}$ = [[ans]]_fhint_",33991
60875,72,"en","Solve.##Reduce the answer to the lowest term.\n$(\frac{5}{6} − \frac{3}{4})$ ÷ $\frac{2}{3}$ = [[ans]]_fhint_",34775
60996,73,"en","Solve.##If your answer is an improper fraction, write it as a mixed number.\n$2\frac{13}{16}$ × $\frac{13}{15}$ − $\frac{1}{4}$ = [[ans]]_fhint_",34896
